date,train_id,mileage_km,rolling_stock_cert_days_remaining,signalling_cert_days_remaining,telecom_cert_days_remaining,job_card_status,branding_priority,cleaning_status,cleaning_due,hours_run_today,stabling_location,induction_decision,total_cert_days,certs_critical,weekday
2021-09-15,9,107937,63,172,107,Closed,Medium,Clean,False,13.0,Track 14,Inducted,342,0,2
2021-09-15,10,148859,39,100,197,Closed,Medium,Clean,False,1.1,Track 1,Standby,336,0,2
2021-09-15,11,182925,61,166,257,Open,High,Clean,False,0.0,Track 9,Maintenance,484,0,2
2021-09-15,12,105407,4,37,121,Closed,Low,Scheduled,True,10.9,Track 11,Inducted,162,1,2
2021-09-15,13,106829,20,74,229,Open,High,Clean,False,0.0,Track 10,Maintenance,323,0,2
2021-09-15,14,85224,25,18,271,Closed,High,Clean,False,10.2,Track 1,Inducted,314,0,2
2021-09-15,15,179696,63,72,124,Closed,High,Clean,False,12.4,Track 8,Inducted,259,0,2
2021-09-15,16,156046,14,118,246,Closed,High,Clean,False,0.0,Track 7,Maintenance,378,0,2
2021-09-15,17,170566,10,167,31,Closed,Low,Clean,False,0.0,Track 15,Maintenance,208,0,2
2021-09-15,18,163441,18,78,172,Open,High,Clean,False,0.0,Track 6,Maintenance,268,0,2
2021-09-15,19,135120,25,4,331,Closed,Low,Clean,False,0.0,Track 1,Maintenance,360,1,2
2021-09-15,20,173066,30,78,140,Open,Medium,Scheduled,True,1.4,Track 11,Standby,248,0,2
2021-09-15,21,95614,35,165,302,Open,Low,Clean,False,0.0,Track 13,Maintenance,502,0,2
2021-09-15,22,72670,34,30,201,Closed,High,Clean,False,8.3,Track 1,Inducted,265,0,2
2021-09-15,23,182955,69,161,60,Closed,High,Clean,False,1.1,Track 3,Standby,290,0,2
2021-09-15,24,100831,10,172,224,Closed,Low,Clean,False,11.2,Track 10,Inducted,406,0,2
2021-09-15,25,89444,10,65,35,Closed,Low,Clean,False,9.7,Track 3,Inducted,110,0,2
2021-09-16,1,185552,18,22,169,Closed,Low,Clean,True,1.3,Track 10,Standby,209,0,3
2021-09-16,2,115681,78,56,337,Closed,Medium,Clean,True,9.9,Track 15,Inducted,471,0,3
2021-09-16,3,102264,5,79,92,Closed,Low,Clean,False,8.5,Track 4,Inducted,176,1,3
2021-09-16,4,190157,45,97,91,Closed,Medium,Clean,False,13.7,Track 10,Inducted,233,0,3
2021-09-16,5,174206,32,88,343,Closed,Low,Clean,False,1.5,Track 14,Standby,463,0,3
2021-09-16,6,93203,20,136,355,Closed,Low,Clean,False,11.3,Track 7,Inducted,511,0,3
2021-09-16,7,189820,47,95,323,Closed,Medium,Clean,False,13.6,Track 5,Inducted,465,0,3
2021-09-16,8,70780,22,50,189,Closed,Low,Clean,False,9.5,Track 9,Inducted,261,0,3
2021-09-16,9,108354,62,171,106,Closed,Medium,Clean,False,9.6,Track 1,Inducted,339,0,3
2021-09-16,10,149168,38,99,196,Closed,Medium,Clean,False,8.2,Track 9,Inducted,333,0,3
2021-09-16,11,182963,60,165,256,Open,High,Clean,False,1.4,Track 5,Standby,481,0,3
2021-09-16,12,105798,3,36,120,Closed,Low,Scheduled,True,8.4,Track 1,Inducted,159,1,3
2021-09-16,13,106829,19,73,228,Open,High,Scheduled,True,0.0,Track 7,Maintenance,320,0,3
2021-09-16,14,85606,24,17,270,Closed,High,Clean,False,13.4,Track 11,Inducted,311,0,3
2021-09-16,15,180055,62,71,123,Closed,High,Clean,False,9.6,Track 2,Inducted,256,0,3
2021-09-16,16,156599,13,117,245,Closed,High,Clean,False,12.3,Track 5,Inducted,375,0,3
2021-09-16,17,170606,9,166,30,Open,Low,Clean,False,1.0,Track 4,Standby,205,0,3
2021-09-16,18,163441,17,77,171,Open,High,Clean,False,0.0,Track 3,Maintenance,265,0,3
2021-09-16,19,135425,24,3,330,Closed,Low,Clean,False,13.6,Track 13,Inducted,357,1,3
2021-09-16,20,173066,29,77,139,Closed,Medium,Clean,False,0.0,Track 2,Maintenance,245,0,3
2021-09-16,21,95614,34,164,301,Closed,Low,Clean,False,0.0,Track 1,Maintenance,499,0,3
2021-09-16,22,73004,33,29,200,Closed,High,Clean,False,8.7,Track 2,Inducted,262,0,3
2021-09-16,23,183527,68,160,59,Closed,High,Clean,False,14.0,Track 11,Inducted,287,0,3
2021-09-16,24,100849,9,171,223,Closed,Low,Clean,False,1.2,Track 12,Standby,403,0,3
2021-09-16,25,89444,9,64,34,Open,Low,Clean,False,0.0,Track 1,Maintenance,107,0,3
2021-09-17,1,185570,17,21,168,Closed,Low,Scheduled,True,0.8,Track 6,Standby,206,0,4
2021-09-17,2,115681,77,55,336,Open,Medium,Clean,True,0.0,Track 4,Maintenance,468,0,4
2021-09-17,3,102264,4,78,91,Open,Low,Clean,False,0.0,Track 4,Maintenance,173,1,4
2021-09-17,4,190173,44,96,90,Closed,Medium,Clean,False,1.1,Track 13,Standby,230,0,4
2021-09-17,5,174683,31,87,342,Closed,Low,Clean,False,10.3,Track 9,Inducted,460,0,4
2021-09-17,6,93626,19,135,354,Closed,Low,Clean,False,12.3,Track 15,Inducted,508,0,4
2021-09-17,7,189842,46,94,322,Closed,Medium,Clean,False,0.5,Track 4,Standby,462,0,4
2021-09-17,8,70780,21,49,188,Open,Low,Clean,False,0.0,Track 1,Maintenance,258,0,4
2021-09-17,9,108378,61,170,105,Closed,Medium,Clean,False,0.5,Track 3,Standby,336,0,4
2021-09-17,10,149168,37,98,195,Open,Medium,Clean,False,0.0,Track 3,Maintenance,330,0,4
2021-09-17,11,183266,59,164,255,Closed,High,Clean,False,9.1,Track 10,Inducted,478,0,4
2021-09-17,12,105798,2,35,119,Closed,Low,Scheduled,True,0.0,Track 2,Maintenance,156,1,4
2021-09-17,13,106829,18,72,227,Open,High,Scheduled,True,0.0,Track 4,Maintenance,317,0,4
2021-09-17,14,86007,23,16,269,Closed,High,Clean,False,10.2,Track 9,Inducted,308,0,4
2021-09-17,15,180615,61,70,122,Closed,High,Clean,False,11.5,Track 7,Inducted,253,0,4
2021-09-17,16,156964,12,116,244,Closed,High,Clean,False,8.9,Track 8,Inducted,372,0,4
2021-09-17,17,171200,8,165,29,Closed,Low,Clean,False,9.7,Track 3,Inducted,202,0,4
2021-09-17,18,164040,16,76,170,Closed,High,Clean,False,13.2,Track 15,Inducted,262,0,4
2021-09-17,19,135474,23,2,329,Closed,Low,Clean,False,0.5,Track 1,Standby,354,1,4
2021-09-17,20,173404,28,76,138,Closed,Medium,Clean,False,12.9,Track 15,Inducted,242,0,4
2021-09-17,21,96190,33,163,300,Closed,Low,Clean,False,10.3,Track 13,Inducted,496,0,4
2021-09-17,22,73386,32,28,199,Closed,High,Clean,False,8.1,Track 2,Inducted,259,0,4
2021-09-17,23,183527,67,159,58,Open,High,Clean,False,0.0,Track 10,Maintenance,284,0,4
2021-09-17,24,101217,8,170,222,Closed,Low,Clean,False,8.5,Track 6,Inducted,400,0,4
2021-09-17,25,89444,8,63,33,Closed,Low,Clean,False,0.0,Track 2,Maintenance,104,0,4
2021-09-18,1,185588,16,20,167,Open,Low,Clean,False,1.1,Track 5,Standby,203,0,5
2021-09-18,2,115690,76,54,335,Closed,Medium,Scheduled,True,1.4,Track 1,Standby,465,0,5
2021-09-18,3,102264,3,77,90,Open,Low,Clean,False,0.0,Track 3,Maintenance,170,1,5
2021-09-18,4,190173,43,95,89,Closed,Medium,Clean,False,0.0,Track 9,Maintenance,227,0,5
2021-09-18,5,175106,30,86,341,Closed,Low,Clean,False,11.2,Track 3,Inducted,457,0,5
2021-09-18,6,94080,18,134,353,Closed,Low,Clean,False,9.7,Track 9,Inducted,505,0,5
2021-09-18,7,189847,45,93,321,Closed,Medium,Clean,False,0.9,Track 11,Standby,459,0,5
2021-09-18,8,71137,20,48,187,Closed,Low,Clean,False,13.8,Track 13,Inducted,255,0,5
2021-09-18,9,108378,60,169,104,Open,Medium,Clean,False,0.0,Track 15,Maintenance,333,0,5
2021-09-18,10,149516,36,97,194,Closed,Medium,Clean,False,9.1,Track 7,Inducted,327,0,5
2021-09-18,11,183631,58,163,254,Closed,High,Clean,False,9.5,Track 10,Inducted,475,0,5
2021-09-18,12,106256,1,34,118,Closed,Low,Clean,True,9.2,Track 11,Inducted,153,1,5
2021-09-18,13,106848,17,71,226,Closed,High,Scheduled,True,1.3,Track 7,Standby,314,0,5
2021-09-18,14,86529,22,15,268,Closed,High,Clean,False,9.7,Track 8,Inducted,305,0,5
2021-09-18,15,180623,60,69,121,Closed,High,Clean,False,1.1,Track 3,Standby,250,0,5
2021-09-18,16,157510,11,115,243,Closed,High,Clean,False,11.5,Track 5,Inducted,369,0,5
2021-09-18,17,171595,7,164,28,Closed,Low,Clean,False,12.0,Track 14,Inducted,199,1,5
2021-09-18,18,164040,15,75,169,Closed,High,Clean,True,0.0,Track 5,Maintenance,259,0,5
2021-09-18,19,135474,22,1,328,Closed,Low,Clean,False,0.0,Track 13,Maintenance,351,1,5
2021-09-18,20,173404,27,75,137,Open,Medium,Clean,False,0.0,Track 4,Maintenance,239,0,5
2021-09-18,21,96236,32,162,299,Closed,Low,Clean,False,1.3,Track 9,Standby,493,0,5
2021-09-18,22,73730,31,27,198,Closed,High,Clean,False,11.8,Track 4,Inducted,256,0,5
2021-09-18,23,184009,66,158,57,Closed,High,Clean,False,8.1,Track 3,Inducted,281,0,5
2021-09-18,24,101795,7,169,221,Closed,Low,Clean,False,9.5,Track 6,Inducted,397,1,5
2021-09-18,25,89459,7,62,32,Open,Low,Clean,False,0.9,Track 6,Standby,101,1,5
2021-09-19,1,185600,15,19,166,Open,Low,Clean,False,0.7,Track 14,Standby,200,0,6
2021-09-19,2,116181,75,53,334,Closed,Medium,Clean,False,8.4,Track 10,Inducted,462,0,6
2021-09-19,3,102288,2,76,89,Closed,Low,Clean,False,0.8,Track 14,Standby,167,1,6
2021-09-19,4,190178,42,94,88,Closed,Medium,Clean,False,0.9,Track 5,Standby,224,0,6
2021-09-19,5,175106,29,85,340,Closed,Low,Clean,False,0.0,Track 3,Maintenance,454,0,6
2021-09-19,6,94582,17,133,352,Closed,Low,Clean,False,10.4,Track 2,Inducted,502,0,6
2021-09-19,7,189870,44,92,320,Closed,Medium,Clean,False,0.6,Track 13,Standby,456,0,6
2021-09-19,8,71167,19,47,186,Open,Low,Clean,False,0.9,Track 2,Standby,252,0,6
2021-09-19,9,108378,59,168,103,Open,Medium,Clean,False,0.0,Track 5,Maintenance,330,0,6
2021-09-19,10,149537,35,96,193,Closed,Medium,Clean,False,1.1,Track 4,Standby,324,0,6
2021-09-19,11,183631,57,162,253,Open,High,Clean,False,0.0,Track 12,Maintenance,472,0,6
2021-09-19,12,106286,90,33,117,Closed,Low,Scheduled,True,1.4,Track 8,Standby,240,0,6
2021-09-19,13,107415,16,70,225,Closed,High,Clean,False,9.0,Track 9,Inducted,311,0,6
2021-09-19,14,86529,21,14,267,Open,High,Clean,False,0.0,Track 7,Maintenance,302,0,6
2021-09-19,15,180659,59,68,120,Closed,High,Clean,False,1.1,Track 15,Standby,247,0,6
2021-09-19,16,157559,10,114,242,Closed,High,Clean,False,1.4,Track 10,Standby,366,0,6
2021-09-19,17,171595,6,163,27,Open,Low,Clean,False,0.0,Track 9,Maintenance,196,1,6
2021-09-19,18,164058,14,74,168,Closed,High,Scheduled,True,0.5,Track 4,Standby,256,0,6
2021-09-19,19,135777,21,180,327,Closed,Low,Clean,False,8.5,Track 14,Inducted,528,0,6
2021-09-19,20,173425,26,74,136,Closed,Medium,Clean,False,0.8,Track 7,Standby,236,0,6
2021-09-19,21,96751,31,161,298,Closed,Low,Clean,False,8.1,Track 13,Inducted,490,0,6
2021-09-19,22,73769,30,26,197,Closed,High,Clean,False,1.0,Track 3,Standby,253,0,6
2021-09-19,23,184571,65,157,56,Closed,High,Clean,False,13.6,Track 5,Inducted,278,0,6
2021-09-19,24,101795,6,168,220,Open,Low,Clean,False,0.0,Track 1,Maintenance,394,1,6
2021-09-19,25,89459,6,61,31,Open,Low,Clean,False,0.0,Track 11,Maintenance,98,1,6
2021-09-20,1,185616,14,18,165,Closed,Low,Clean,False,1.0,Track 6,Standby,197,0,0
2021-09-20,2,116217,74,52,333,Open,Medium,Clean,False,1.2,Track 9,Standby,459,0,0
2021-09-20,3,102298,1,75,88,Closed,Low,Clean,False,0.8,Track 13,Standby,164,1,0
2021-09-20,4,190178,41,93,87,Open,Medium,Clean,False,0.0,Track 13,Maintenance,221,0,0
2021-09-20,5,175108,28,84,339,Closed,Low,Clean,False,1.1,Track 12,Standby,451,0,0
2021-09-20,6,94582,16,132,351,Open,Low,Clean,False,0.0,Track 11,Maintenance,499,0,0
2021-09-20,7,189870,43,91,319,Closed,Medium,Clean,False,0.0,Track 4,Maintenance,453,0,0
2021-09-20,8,71211,18,46,185,Closed,Low,Clean,False,0.6,Track 5,Standby,249,0,0
2021-09-20,9,108378,58,167,102,Open,Medium,Clean,False,0.0,Track 1,Maintenance,327,0,0
2021-09-20,10,149554,34,95,192,Closed,Medium,Clean,False,1.5,Track 2,Standby,321,0,0
2021-09-20,11,183631,56,161,252,Open,High,Clean,False,0.0,Track 3,Maintenance,469,0,0
2021-09-20,12,106286,89,32,116,Open,Low,Clean,False,0.0,Track 11,Maintenance,237,0,0
2021-09-20,13,107415,15,69,224,Open,High,Clean,False,0.0,Track 5,Maintenance,308,0,0
2021-09-20,14,86529,20,13,266,Open,High,Clean,False,0.0,Track 6,Maintenance,299,0,0
2021-09-20,15,180659,58,67,119,Open,High,Clean,True,0.0,Track 14,Maintenance,244,0,0
2021-09-20,16,157569,9,113,241,Closed,High,Clean,False,0.8,Track 5,Standby,363,0,0
2021-09-20,17,171920,5,162,26,Closed,Low,Clean,False,13.2,Track 11,Inducted,193,1,0
2021-09-20,18,164617,13,73,167,Closed,High,Clean,False,13.3,Track 4,Inducted,253,0,0
2021-09-20,19,136202,20,179,326,Closed,Low,Clean,False,13.9,Track 12,Inducted,525,0,0
2021-09-20,20,173425,25,73,135,Open,Medium,Clean,False,0.0,Track 14,Maintenance,233,0,0
2021-09-20,21,96751,30,160,297,Closed,Low,Clean,False,0.0,Track 3,Maintenance,487,0,0
2021-09-20,22,74153,29,25,196,Closed,High,Clean,False,14.0,Track 3,Inducted,250,0,0
2021-09-20,23,184571,64,156,55,Open,High,Clean,False,0.0,Track 15,Maintenance,275,0,0
2021-09-20,24,101814,5,167,219,Closed,Low,Clean,False,1.3,Track 15,Standby,391,1,0
2021-09-20,25,89776,5,60,30,Closed,Low,Clean,False,12.5,Track 5,Inducted,95,1,0
2021-09-21,1,185616,13,17,164,Closed,Low,Clean,False,0.0,Track 10,Maintenance,194,0,1
2021-09-21,2,116261,73,51,332,Closed,Medium,Clean,False,1.4,Track 1,Standby,456,0,1
2021-09-21,3,102757,90,74,87,Closed,Low,Clean,False,10.2,Track 10,Inducted,251,0,1
2021-09-21,4,190178,40,92,86,Closed,Medium,Clean,False,0.0,Track 5,Maintenance,218,0,1
2021-09-21,5,175112,27,83,338,Closed,Low,Clean,False,0.9,Track 7,Standby,448,0,1
2021-09-21,6,94582,15,131,350,Open,Low,Clean,False,0.0,Track 14,Maintenance,496,0,1
2021-09-21,7,189870,42,90,318,Open,Medium,Clean,False,0.0,Track 12,Maintenance,450,0,1
2021-09-21,8,71643,17,45,184,Closed,Low,Clean,False,13.1,Track 5,Inducted,246,0,1
2021-09-21,9,108378,57,166,101,Open,Medium,Clean,False,0.0,Track 9,Maintenance,324,0,1
2021-09-21,10,149554,33,94,191,Closed,Medium,Clean,False,0.0,Track 8,Maintenance,318,0,1
2021-09-21,11,184064,55,160,251,Closed,High,Clean,False,9.1,Track 3,Inducted,466,0,1
2021-09-21,12,106734,88,31,115,Closed,Low,Clean,False,10.6,Track 8,Inducted,234,0,1
2021-09-21,13,107845,14,68,223,Closed,High,Clean,False,10.3,Track 3,Inducted,305,0,1
2021-09-21,14,86848,19,12,265,Closed,High,Clean,False,9.8,Track 4,Inducted,296,0,1
2021-09-21,15,180659,57,66,118,Open,High,Scheduled,True,0.0,Track 4,Maintenance,241,0,1
2021-09-21,16,157611,8,112,240,Closed,High,Clean,False,0.6,Track 11,Standby,360,0,1
2021-09-21,17,171936,4,161,25,Closed,Low,Clean,False,0.7,Track 6,Standby,190,1,1
2021-09-21,18,164638,12,72,166,Closed,High,Clean,False,0.6,Track 11,Standby,250,0,1
2021-09-21,19,136241,19,178,325,Open,Low,Clean,False,0.9,Track 2,Standby,522,0,1
2021-09-21,20,173425,24,72,134,Open,Medium,Clean,False,0.0,Track 10,Maintenance,230,0,1
2021-09-21,21,96751,29,159,296,Closed,Low,Clean,False,0.0,Track 1,Maintenance,484,0,1
2021-09-21,22,74153,28,24,195,Open,High,Clean,False,0.0,Track 4,Maintenance,247,0,1
2021-09-21,23,184571,63,155,54,Open,High,Clean,False,0.0,Track 11,Maintenance,272,0,1
2021-09-21,24,101833,4,166,218,Open,Low,Clean,False,0.7,Track 3,Standby,388,1,1
2021-09-21,25,90215,4,59,29,Closed,Low,Clean,False,12.0,Track 10,Inducted,92,1,1
2021-09-22,1,185616,12,16,163,Open,Low,Clean,False,0.0,Track 2,Maintenance,191,0,2
2021-09-22,2,116261,72,50,331,Open,Medium,Clean,False,0.0,Track 12,Maintenance,453,0,2
2021-09-22,3,103087,89,73,86,Closed,Low,Clean,False,13.4,Track 15,Inducted,248,0,2
2021-09-22,4,190771,39,91,85,Open,Medium,Clean,False,12.3,Track 7,Inducted,215,0,2
2021-09-22,5,175112,26,82,337,Closed,Low,Clean,False,0.0,Track 3,Maintenance,445,0,2
2021-09-22,6,95131,14,130,349,Closed,Low,Clean,False,13.3,Track 8,Inducted,493,0,2
2021-09-22,7,190263,41,89,317,Closed,Medium,Clean,False,11.2,Track 2,Inducted,447,0,2
2021-09-22,8,71650,16,44,183,Closed,Low,Clean,False,0.6,Track 9,Standby,243,0,2
2021-09-22,9,108378,56,165,100,Open,Medium,Clean,False,0.0,Track 8,Maintenance,321,0,2
2021-09-22,10,149567,32,93,190,Open,Medium,Clean,False,1.0,Track 1,Standby,315,0,2
2021-09-22,11,184095,54,159,250,Open,High,Clean,False,1.4,Track 14,Standby,463,0,2
2021-09-22,12,107161,87,30,114,Closed,Low,Clean,False,10.3,Track 5,Inducted,231,0,2
2021-09-22,13,107886,13,67,222,Closed,High,Clean,False,0.9,Track 2,Standby,302,0,2
2021-09-22,14,86848,18,11,264,Open,High,Clean,False,0.0,Track 2,Maintenance,293,0,2
2021-09-22,15,180689,56,65,117,Closed,High,Scheduled,True,1.5,Track 9,Standby,238,0,2
2021-09-22,16,158194,7,111,239,Closed,High,Clean,False,11.1,Track 11,Inducted,357,1,2
2021-09-22,17,171936,3,160,24,Open,Low,Clean,False,0.0,Track 4,Maintenance,187,1,2
2021-09-22,18,164670,11,71,165,Closed,High,Clean,False,1.3,Track 12,Standby,247,0,2
2021-09-22,19,136776,18,177,324,Closed,Low,Clean,False,13.8,Track 7,Inducted,519,0,2
2021-09-22,20,173936,23,71,133,Closed,Medium,Clean,False,9.3,Track 4,Inducted,227,0,2
2021-09-22,21,97124,28,158,295,Closed,Low,Clean,False,10.1,Track 8,Inducted,481,0,2
2021-09-22,22,74724,27,23,194,Closed,High,Clean,False,13.6,Track 7,Inducted,244,0,2
2021-09-22,23,184571,62,154,53,Open,High,Clean,False,0.0,Track 4,Maintenance,269,0,2
2021-09-22,24,101833,3,165,217,Open,Low,Clean,False,0.0,Track 7,Maintenance,385,1,2
2021-09-22,25,90250,3,58,28,Open,Low,Clean,False,0.8,Track 15,Standby,89,1,2
2021-09-23,1,185616,11,15,162,Open,Low,Clean,False,0.0,Track 6,Maintenance,188,0,3
2021-09-23,2,116749,71,49,330,Closed,Medium,Clean,False,12.3,Track 14,Inducted,450,0,3
2021-09-23,3,103087,88,72,85,Open,Low,Clean,False,0.0,Track 15,Maintenance,245,0,3
2021-09-23,4,190771,38,90,84,Closed,Medium,Clean,False,0.0,Track 6,Maintenance,212,0,3
2021-09-23,5,175526,25,81,336,Closed,Low,Clean,False,13.0,Track 9,Inducted,442,0,3
2021-09-23,6,95131,13,129,348,Closed,Low,Clean,False,0.0,Track 10,Maintenance,490,0,3
2021-09-23,7,190777,40,88,316,Closed,Medium,Clean,False,8.9,Track 9,Inducted,444,0,3
2021-09-23,8,71664,15,43,182,Closed,Low,Clean,False,1.3,Track 2,Standby,240,0,3
2021-09-23,9,108408,55,164,99,Closed,Medium,Clean,False,0.8,Track 10,Standby,318,0,3
2021-09-23,10,149950,31,92,189,Closed,Medium,Clean,False,10.0,Track 13,Inducted,312,0,3
2021-09-23,11,184095,53,158,249,Open,High,Clean,False,0.0,Track 13,Maintenance,460,0,3
2021-09-23,12,107165,86,29,113,Open,Low,Clean,False,0.9,Track 14,Standby,228,0,3
2021-09-23,13,108192,12,66,221,Closed,High,Clean,False,13.4,Track 2,Inducted,299,0,3
2021-09-23,14,86884,17,10,263,Closed,High,Clean,False,1.5,Track 13,Standby,290,0,3
2021-09-23,15,180689,55,64,116,Open,High,Clean,False,0.0,Track 5,Maintenance,235,0,3
2021-09-23,16,158753,6,110,238,Closed,High,Clean,False,13.6,Track 10,Inducted,354,1,3
2021-09-23,17,172410,2,159,23,Closed,Low,Clean,False,12.6,Track 8,Inducted,184,1,3
2021-09-23,18,164684,10,70,164,Closed,High,Clean,False,1.0,Track 11,Standby,244,0,3
2021-09-23,19,136776,17,176,323,Open,Low,Clean,False,0.0,Track 2,Maintenance,516,0,3
2021-09-23,20,173936,22,70,132,Open,Medium,Clean,False,0.0,Track 14,Maintenance,224,0,3
2021-09-23,21,97124,27,157,294,Closed,Low,Clean,False,0.0,Track 13,Maintenance,478,0,3
2021-09-23,22,74724,26,22,193,Open,High,Clean,False,0.0,Track 12,Maintenance,241,0,3
2021-09-23,23,184571,61,153,52,Open,High,Clean,False,0.0,Track 12,Maintenance,266,0,3
2021-09-23,24,101833,2,164,216,Open,Low,Clean,False,0.0,Track 11,Maintenance,382,1,3
2021-09-23,25,90294,2,57,27,Closed,Low,Clean,False,1.1,Track 14,Standby,86,1,3
2021-09-24,1,186029,10,14,161,Closed,Low,Clean,False,12.6,Track 1,Inducted,185,0,4
2021-09-24,2,116749,70,48,329,Open,Medium,Clean,False,0.0,Track 5,Maintenance,447,0,4
2021-09-24,3,103087,87,71,84,Open,Low,Clean,False,0.0,Track 13,Maintenance,242,0,4
2021-09-24,4,191183,37,89,83,Open,Medium,Clean,False,11.8,Track 8,Inducted,209,0,4
2021-09-24,5,175916,24,80,335,Closed,Low,Clean,False,10.3,Track 15,Inducted,439,0,4
2021-09-24,6,95148,12,128,347,Closed,Low,Clean,False,1.4,Track 14,Standby,487,0,4
2021-09-24,7,190777,39,87,315,Open,Medium,Clean,False,0.0,Track 7,Maintenance,441,0,4
2021-09-24,8,71698,14,42,181,Closed,Low,Clean,False,1.5,Track 1,Standby,237,0,4
2021-09-24,9,108784,54,163,98,Closed,Medium,Clean,False,8.6,Track 2,Inducted,315,0,4
2021-09-24,10,149963,30,91,188,Closed,Medium,Clean,False,1.1,Track 6,Standby,309,0,4
2021-09-24,11,184121,52,157,248,Closed,High,Clean,False,1.1,Track 11,Standby,457,0,4
2021-09-24,12,107584,85,28,112,Closed,Low,Clean,False,12.6,Track 14,Inducted,225,0,4
2021-09-24,13,108192,11,65,220,Open,High,Clean,False,0.0,Track 5,Maintenance,296,0,4
2021-09-24,14,87215,16,9,262,Closed,High,Clean,False,12.6,Track 13,Inducted,287,0,4
2021-09-24,15,181010,54,63,115,Closed,High,Clean,False,13.7,Track 6,Inducted,232,0,4
2021-09-24,16,158753,5,109,237,Open,High,Clean,False,0.0,Track 13,Maintenance,351,1,4
2021-09-24,17,172410,1,158,22,Closed,Low,Clean,False,0.0,Track 8,Maintenance,181,1,4
2021-09-24,18,164730,9,69,163,Open,High,Clean,False,0.6,Track 6,Standby,241,0,4
2021-09-24,19,137258,16,175,322,Closed,Low,Clean,False,12.4,Track 12,Inducted,513,0,4
2021-09-24,20,173936,21,69,131,Open,Medium,Clean,False,0.0,Track 10,Maintenance,221,0,4
2021-09-24,21,97124,26,156,293,Closed,Low,Clean,False,0.0,Track 4,Maintenance,475,0,4
